,,Sample,WDH1MR,WDH1MM,WDH1ML,WDH2MR,WDH2MM,WDH2ML,WDH3MR,WDH3MM,WDH3ML,R5P1MR,R5P1MM,R5P1ML,R5P2MR,R5P2MM,R5P2ML,R5P3MR,R5P3MM,R5P3ML,R5P4MR,R5P4MM,R5P4ML,R5P5MR,R5P5MM,R5P5ML,R5P6MR,R5P6MM,R5P6ML,R5P7MR,R5P7MM,R5P7ML,R5P8MR,R5P8MM,R5P8ML,R5P9MR,R5P9MM,R5P9ML,R5PAMR,R5PAMM,R5PAML,R5PBMR,R5PBMM,R5PBML,R5PCMR,R5PCMM,R5PCML,R6P1MR,R6P1MM,R6P1ML,R6P2MR,R6P2MM,R6P2ML,R6P3MR,R6P3MM,R6P3ML,R6P4MR,R6P4MM,R6P4ML,R6P5MR,R6P5MM,R6P5ML,R6P6MR,R6P6MM,R6P6ML,R6P7MR,R6P7MM,R6P7ML,R6P8MR,R6P8MM,R6P8ML,R6P9MR,R6P9MM,R6P9ML,R6PAMR,R6PAMM,R6PAML,R6PBMR,R6PBMM,R6PBML,R6PCMR,R6PCMM,R6PCML,R7P1MR,R7P1MM,R7P1ML,R7P2MR,R7P2MM,R7P2ML,R7P3MR,R7P3MM,R7P3ML,R7P4MR,R7P4MM,R7P4ML,R7P5MR,R7P5MM,R7P5ML,R7P6MR,R7P6MM,R7P6ML,R7P7MR,R7P7MM,R7P7ML,R7P8MR,R7P8MM,R7P8ML,R7P9MR,R7P9MM,R7P9ML,R9P1,R9P2,R9P3,R9P4,R9P5,R9P6,R9P7,R9P8,R9P9
,,Riffle,WDH,WDH,WDH,WDH,WDH,WDH,WDH,WDH,WDH,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R9,R9,R9,R9,R9,R9,R9,R9,R9
Ephemeroptera,Baetidae,Acentrella,0,0,0,0,0,0,1,2,4,10,6,12,4,6,5,6,0,0,5,8,1,14,9,11,16,0,4,16,8,20,16,4,1,1,8,5,0,0,0,2,3,2,5,0,0,4,8,2,2,13,14,6,6,0,7,6,4,3,7,14,3,11,4,5,0,1,1,5,8,5,1,7,1,3,3,1,6,0,0,4,4,2,2,1,3,1,1,0,1,0,0,0,0,10,29,9,1,0,0,2,0,0,0,0,0,3,2,3,16,12,30,1,6,14,3,4,14
Ephemeroptera,Baetidae,Baetis,4,2,0,0,1,1,0,2,2,9,4,7,9,18,23,12,1,6,2,4,2,13,32,11,14,3,1,6,1,1,21,2,4,4,3,2,8,9,30,44,61,13,57,20,1,6,2,1,3,8,2,1,1,0,0,0,3,1,6,1,1,0,1,0,0,1,0,0,2,1,1,1,28,27,8,64,23,12,31,42,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,7,3,0,4,0,0,3,1,0
Ephemeroptera,Baetidae,Heterocloeon,0,0,0,0,0,0,0,0,0,9,4,5,3,16,8,4,3,0,13,16,18,0,4,2,1,1,10,15,10,13,9,0,1,0,0,0,1,0,1,7,11,3,7,0,0,0,1,0,0,5,11,3,0,0,2,0,1,0,0,14,0,0,0,0,1,0,0,7,11,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,2,7,3,0,1,2,1,0,0,0,0,0,2,1,1,6,2,1,0,0,0,0,2,0
Ephemeroptera,Baetidae,Plauditus,0,1,0,0,0,0,2,0,0,30,17,66,6,15,31,42,24,27,26,52,39,11,31,20,37,21,17,77,19,32,26,12,18,16,67,37,45,17,43,91,92,42,105,66,14,72,81,80,8,26,45,28,31,23,43,36,37,21,15,11,43,34,28,72,49,56,12,23,16,39,33,39,14,20,49,60,59,17,73,163,112,31,26,31,28,4,15,51,43,39,70,64,7,28,116,27,43,36,15,53,46,115,40,35,57,45,111,122,29,18,16,32,22,23,50,25,43
Ephemeroptera,Caenidae,Caenis,0,9,4,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Ephemerellidae,Attenella,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Ephemerellidae,Dannella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Ephemerellidae,Drunella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Ephemerellidae,Serratella,2,10,1,3,9,3,5,8,0,1,0,1,0,5,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
